seed,label,aggregation,threshold,cal_precision,cal_recall,cal_f1,cal_tp,cal_fp,cal_fn,cal_tn,cal_support,cal_predicted_positive,cal_hamming_errors
13,Brene_Brown,max,0.66,0.9743589743589743,1.0,0.9870129870129869,38,1,0,395,38,39,1
13,Eckhart_Tolle,top2mean,0.5,1.0,1.0,1.0,43,0,0,391,43,43,0
13,Eric_Thomas,mean,0.59,1.0,0.9032258064516129,0.9491525423728813,28,0,3,403,31,28,3
13,Gary_Vee,top2mean,0.5,1.0,1.0,1.0,38,0,0,396,38,38,0
13,Jay_Shetty,p75,0.5,0.9795918367346939,1.0,0.9896907216494846,48,1,0,385,48,49,1
13,Nick_Vujicic,mean,0.43,1.0,1.0,1.0,22,0,0,412,22,22,0
13,other_speaker_present,top3mean,0.78,0.92,0.9366515837104072,0.9282511210762331,207,18,14,195,221,225,32
13,music_present,mean,0.31,0.9518072289156626,0.9239766081871345,0.9376854599406528,158,8,13,255,171,166,21
13,audience_reaction_present,max,0.75,1.0,0.4,0.5714285714285715,6,0,9,419,15,6,9
13,silence_present,top2mean,0.5,1.0,0.4,0.5714285714285715,2,0,3,429,5,2,3
14,Brene_Brown,top2mean,0.52,1.0,1.0,1.0,43,0,0,391,43,43,0
14,Eckhart_Tolle,top3mean,0.5,1.0,1.0,1.0,39,0,0,395,39,39,0
14,Eric_Thomas,mean,0.58,0.9473684210526315,0.972972972972973,0.9599999999999999,36,2,1,395,37,38,3
14,Gary_Vee,top3mean,0.5,1.0,1.0,1.0,32,0,0,402,32,32,0
14,Jay_Shetty,p75,0.79,1.0,1.0,1.0,52,0,0,382,52,52,0
14,Nick_Vujicic,top2mean,0.62,1.0,1.0,1.0,20,0,0,414,20,20,0
14,other_speaker_present,mean,0.66,0.9436619718309859,0.9095022624434389,0.9262672811059908,201,12,20,201,221,213,32
14,music_present,mean,0.36,0.9757575757575757,0.92,0.9470588235294117,161,4,14,255,175,165,18
14,audience_reaction_present,top3mean,0.36,0.5294117647058824,0.5625,0.5454545454545455,9,8,7,410,16,17,15
14,silence_present,top3mean,0.5,1.0,0.2222222222222222,0.3636363636363636,2,0,7,425,9,2,7
15,Brene_Brown,top2mean,0.52,1.0,1.0,1.0,39,0,0,395,39,39,0
15,Eckhart_Tolle,top2mean,0.5,1.0,1.0,1.0,43,0,0,391,43,43,0
15,Eric_Thomas,top3mean,0.89,0.9487179487179487,0.9736842105263158,0.9610389610389611,37,2,1,394,38,39,3
15,Gary_Vee,top3mean,0.44,1.0,1.0,1.0,32,0,0,402,32,32,0
15,Jay_Shetty,mean,0.5,1.0,1.0,1.0,49,0,0,385,49,49,0
15,Nick_Vujicic,mean,0.43,1.0,0.9615384615384616,0.9803921568627451,25,0,1,408,26,25,1
15,other_speaker_present,mean,0.66,0.9436619718309859,0.9054054054054054,0.9241379310344827,201,12,21,200,222,213,33
15,music_present,p75,0.34,0.9597701149425287,0.9226519337016574,0.9408450704225353,167,7,14,246,181,174,21
15,audience_reaction_present,mean,0.22,0.47058823529411764,0.5333333333333333,0.5,8,9,7,410,15,17,16
15,silence_present,top3mean,0.5,1.0,0.25,0.4,2,0,6,426,8,2,6
16,Brene_Brown,top2mean,0.5,1.0,1.0,1.0,40,0,0,394,40,40,0
16,Eckhart_Tolle,top3mean,0.5,1.0,1.0,1.0,33,0,0,401,33,33,0
16,Eric_Thomas,mean,0.58,0.9666666666666667,0.9666666666666667,0.9666666666666667,29,1,1,403,30,30,2
16,Gary_Vee,top3mean,0.5,1.0,1.0,1.0,42,0,0,392,42,42,0
16,Jay_Shetty,p75,0.79,0.9777777777777777,1.0,0.9887640449438202,44,1,0,389,44,45,1
16,Nick_Vujicic,mean,0.43,1.0,1.0,1.0,21,0,0,413,21,21,0
16,other_speaker_present,top3mean,0.78,0.9404255319148936,0.9364406779661016,0.9384288747346071,221,14,15,184,236,235,29
16,music_present,top3mean,0.34,0.943502824858757,0.9823529411764705,0.9625360230547549,167,10,3,254,170,177,13
16,audience_reaction_present,max,0.75,0.6666666666666666,0.2857142857142857,0.4,2,1,5,426,7,3,6
16,silence_present,top2mean,0.5,1.0,0.25,0.4,2,0,6,426,8,2,6
17,Brene_Brown,top3mean,0.51,1.0,1.0,1.0,40,0,0,394,40,40,0
17,Eckhart_Tolle,top3mean,0.5,1.0,1.0,1.0,43,0,0,391,43,43,0
17,Eric_Thomas,mean,0.59,0.9333333333333333,0.9032258064516129,0.9180327868852459,28,2,3,401,31,30,5
17,Gary_Vee,mean,0.5,1.0,1.0,1.0,36,0,0,398,36,36,0
17,Jay_Shetty,top3mean,0.77,0.9591836734693877,1.0,0.9791666666666666,47,2,0,385,47,49,2
17,Nick_Vujicic,p75,0.49,0.9655172413793104,1.0,0.9824561403508771,28,1,0,405,28,29,1
17,other_speaker_present,top3mean,0.78,0.9008620689655172,0.95,0.9247787610619469,209,23,11,191,220,232,34
17,music_present,p75,0.32,0.9757575757575757,0.9415204678362573,0.9583333333333334,161,4,10,259,171,165,14
17,audience_reaction_present,p75,0.59,1.0,0.23076923076923078,0.375,3,0,10,421,13,3,10
17,silence_present,top2mean,0.53,1.0,0.3,0.4615384615384615,3,0,7,424,10,3,7
18,Brene_Brown,top3mean,0.5,1.0,1.0,1.0,41,0,0,393,41,41,0
18,Eckhart_Tolle,top3mean,0.5,1.0,1.0,1.0,47,0,0,387,47,47,0
18,Eric_Thomas,mean,0.59,1.0,1.0,1.0,30,0,0,404,30,30,0
18,Gary_Vee,top3mean,0.5,1.0,1.0,1.0,31,0,0,403,31,31,0
18,Jay_Shetty,top2mean,0.82,0.9565217391304348,1.0,0.9777777777777777,44,2,0,388,44,46,2
18,Nick_Vujicic,mean,0.43,1.0,0.96875,0.9841269841269841,31,0,1,402,32,31,1
18,other_speaker_present,top3mean,0.82,0.9234234234234234,0.9276018099547512,0.925507900677201,205,17,16,196,221,222,33
18,music_present,top2mean,0.44,0.9629629629629629,0.9285714285714286,0.9454545454545454,156,6,12,260,168,162,18
18,audience_reaction_present,p90,0.49,0.6363636363636364,0.5384615384615384,0.5833333333333334,7,4,6,417,13,11,10
18,silence_present,top2mean,0.5,0.6666666666666666,0.3333333333333333,0.4444444444444444,2,1,4,427,6,3,5
19,Brene_Brown,top3mean,0.51,1.0,1.0,1.0,32,0,0,402,32,32,0
19,Eckhart_Tolle,top3mean,0.5,1.0,1.0,1.0,44,0,0,390,44,44,0
19,Eric_Thomas,mean,0.68,0.9714285714285714,0.918918918918919,0.9444444444444445,34,1,3,396,37,35,4
19,Gary_Vee,top3mean,0.44,1.0,1.0,1.0,38,0,0,396,38,38,0
19,Jay_Shetty,p75,0.8,0.9722222222222222,1.0,0.9859154929577464,35,1,0,398,35,36,1
19,Nick_Vujicic,mean,0.43,1.0,0.9615384615384616,0.9803921568627451,25,0,1,408,26,25,1
19,other_speaker_present,top3mean,0.78,0.9330543933054394,0.9570815450643777,0.9449152542372882,223,16,10,185,233,239,26
19,music_present,p75,0.32,0.9585798816568047,0.9418604651162791,0.9501466275659824,162,7,10,255,172,169,17
19,audience_reaction_present,mean,0.2,0.5333333333333333,0.47058823529411764,0.5,8,7,9,410,17,15,16
19,silence_present,top3mean,0.5,1.0,0.25,0.4,1,0,3,430,4,1,3
