seed,iteration,label,before_aggregation,before_threshold,after_aggregation,after_threshold,before_objective_score,after_objective_score,objective_improvement,accepted,candidate_macro_f1,candidate_micro_f1,candidate_samples_f1,candidate_exact_match,candidate_hamming_loss,candidate_avg_pred_labels
1,1,Eckhart_Tolle,top2mean,0.5,top2mean,0.5,0.855027932162528,0.855027932162528,0.0,False,0.8638398371565277,0.9492868462757528,0.9572745227123108,0.8640552995391705,0.014746543778801843,1.4470046082949308
1,1,Eric_Thomas,mean,0.53,mean,0.54,0.855027932162528,0.8560591783549133,0.00103124619238526,True,0.865206296783857,0.9500396510705789,0.9577353522053983,0.8663594470046083,0.014516129032258065,1.444700460829493
1,1,Gary_Vee,top3mean,0.5,top3mean,0.55,0.8560591783549133,0.8567831202113794,0.0007239418564660705,True,0.8667447583223185,0.9507936507936507,0.9580425718674566,0.8663594470046083,0.014285714285714285,1.4423963133640554
1,1,Jay_Shetty,mean,0.8,top3mean,0.9,0.8567831202113794,0.8586868853052064,0.001903765093827059,True,0.8681408622184223,0.9517022961203484,0.9603467193328944,0.868663594470046,0.014055299539170507,1.4493087557603688
1,1,Nick_Vujicic,mean,0.43,p75,0.57,0.8586868853052064,0.8592693884593935,0.000582503154187064,True,0.8682148540793178,0.9517786561264822,0.9618828176431864,0.868663594470046,0.014055299539170507,1.4539170506912442
1,1,other_speaker_present,top3mean,0.76,top3mean,0.77,0.8592693884593935,0.8598967734491378,0.0006273849897443506,True,0.8684179585448588,0.9525316455696202,0.9626508667983322,0.8709677419354839,0.013824884792626729,1.4516129032258065
1,1,music_present,mean,0.49,mean,0.57,0.8598967734491378,0.8607217148146742,0.0008249413655363469,True,0.8689729461306628,0.9538950715421304,0.9641869651086242,0.8755760368663594,0.013364055299539171,1.4377880184331797
1,1,audience_reaction_present,max,0.68,top3mean,0.52,0.8607217148146742,0.8623704158991263,0.0016487010844521421,True,0.8727824699401866,0.954653937947494,0.9645709896861971,0.8755760368663594,0.013133640552995391,1.435483870967742
1,1,silence_present,top2mean,0.38,p90,0.39,0.8623704158991263,0.8632798628624583,0.0009094469633319502,True,0.8747432542539121,0.9554140127388535,0.96495501426377,0.8755760368663594,0.012903225806451613,1.433179723502304
1,2,Brene_Brown,noisy_or,0.94,noisy_or,0.94,0.8632798628624583,0.8632798628624583,0.0,False,0.8747432542539121,0.9554140127388535,0.96495501426377,0.8755760368663594,0.012903225806451613,1.433179723502304
1,2,Eckhart_Tolle,top2mean,0.5,top2mean,0.5,0.8632798628624583,0.8632798628624583,0.0,False,0.8747432542539121,0.9554140127388535,0.96495501426377,0.8755760368663594,0.012903225806451613,1.433179723502304
1,2,Eric_Thomas,mean,0.54,mean,0.54,0.8632798628624583,0.8632798628624583,0.0,False,0.8747432542539121,0.9554140127388535,0.96495501426377,0.8755760368663594,0.012903225806451613,1.433179723502304
1,2,Gary_Vee,top3mean,0.55,top3mean,0.55,0.8632798628624583,0.8632798628624583,0.0,False,0.8747432542539121,0.9554140127388535,0.96495501426377,0.8755760368663594,0.012903225806451613,1.433179723502304
1,2,Jay_Shetty,top3mean,0.9,top3mean,0.9,0.8632798628624583,0.8632798628624583,0.0,False,0.8747432542539121,0.9554140127388535,0.96495501426377,0.8755760368663594,0.012903225806451613,1.433179723502304
1,2,Nick_Vujicic,p75,0.57,p75,0.57,0.8632798628624583,0.8632798628624583,0.0,False,0.8747432542539121,0.9554140127388535,0.96495501426377,0.8755760368663594,0.012903225806451613,1.433179723502304
1,2,other_speaker_present,top3mean,0.77,top3mean,0.77,0.8632798628624583,0.8632798628624583,0.0,False,0.8747432542539121,0.9554140127388535,0.96495501426377,0.8755760368663594,0.012903225806451613,1.433179723502304
1,2,music_present,mean,0.57,mean,0.57,0.8632798628624583,0.8632798628624583,0.0,False,0.8747432542539121,0.9554140127388535,0.96495501426377,0.8755760368663594,0.012903225806451613,1.433179723502304
1,2,audience_reaction_present,top3mean,0.52,top3mean,0.52,0.8632798628624583,0.8632798628624583,0.0,False,0.8747432542539121,0.9554140127388535,0.96495501426377,0.8755760368663594,0.012903225806451613,1.433179723502304
1,2,silence_present,p90,0.39,p90,0.39,0.8632798628624583,0.8632798628624583,0.0,False,0.8747432542539121,0.9554140127388535,0.96495501426377,0.8755760368663594,0.012903225806451613,1.433179723502304
2,1,Brene_Brown,top3mean,0.5,top3mean,0.5,0.858119878271023,0.858119878271023,0.0,False,0.8728674917724367,0.950896336710834,0.9547399605003293,0.8594470046082949,0.014516129032258065,1.4746543778801844
2,1,Eckhart_Tolle,top2mean,0.5,top2mean,0.5,0.858119878271023,0.858119878271023,0.0,False,0.8728674917724367,0.950896336710834,0.9547399605003293,0.8594470046082949,0.014516129032258065,1.4746543778801844
2,1,Eric_Thomas,mean,0.53,top3mean,0.75,0.858119878271023,0.8609842459284233,0.0028643676574002797,True,0.8760821875244458,0.9525291828793774,0.956276058810621,0.8640552995391705,0.014055299539170507,1.4792626728110598
2,1,Gary_Vee,top3mean,0.5,median,0.46,0.8609842459284233,0.8616383174619708,0.0006540715335475733,True,0.8774520505381446,0.9532710280373832,0.9565832784726793,0.8640552995391705,0.013824884792626729,1.476958525345622
2,1,Jay_Shetty,mean,0.8,mean,0.8,0.8616383174619708,0.8616383174619708,0.0,False,0.8774520505381446,0.9532710280373832,0.9565832784726793,0.8640552995391705,0.013824884792626729,1.476958525345622
2,1,Nick_Vujicic,mean,0.43,top3mean,0.63,0.8616383174619708,0.8622358637409923,0.0005975462790214214,True,0.8775654935330396,0.9533437013996889,0.9581193767829713,0.8640552995391705,0.013824884792626729,1.4815668202764978
2,1,other_speaker_present,top3mean,0.76,mean,0.57,0.8622358637409923,0.8662183105864515,0.003982446845459231,True,0.8785854119395671,0.9570647931303669,0.9644941847706825,0.8778801843317973,0.012672811059907835,1.4700460829493087
2,1,music_present,mean,0.49,mean,0.49,0.8662183105864515,0.8662183105864515,0.0,False,0.8785854119395671,0.9570647931303669,0.9644941847706825,0.8778801843317973,0.012672811059907835,1.4700460829493087
2,1,audience_reaction_present,max,0.68,mean,0.19,0.8662183105864515,0.8672485453578934,0.001030234771441929,True,0.8811495145036696,0.9564541213063764,0.9640333552775949,0.8755760368663594,0.012903225806451613,1.4815668202764978
2,1,silence_present,top2mean,0.38,top3mean,0.5,0.8672485453578934,0.8713987399697134,0.0041501946118199795,True,0.8830542764084315,0.9608763693270735,0.9687184551239851,0.8917050691244239,0.01152073732718894,1.4631336405529953
2,2,Brene_Brown,top3mean,0.5,top3mean,0.5,0.8713987399697134,0.8713987399697134,0.0,False,0.8830542764084315,0.9608763693270735,0.9687184551239851,0.8917050691244239,0.01152073732718894,1.4631336405529953
