seed,label,aggregation,threshold
6,Nick_Vujicic,mean,0.43
6,other_speaker_present,p90,0.86
6,music_present,max,0.95
6,audience_reaction_present,top2mean,0.6
6,silence_present,p75,0.34
7,Brene_Brown,top3mean,0.5
7,Eckhart_Tolle,top2mean,0.5
7,Eric_Thomas,top3mean,0.78
7,Gary_Vee,top3mean,0.55
7,Jay_Shetty,top3mean,0.9
7,Nick_Vujicic,mean,0.43
7,other_speaker_present,top3mean,0.8
7,music_present,mean,0.48
7,audience_reaction_present,p90,0.62
7,silence_present,median,0.26
8,Brene_Brown,top3mean,0.5
8,Eckhart_Tolle,top2mean,0.5
8,Eric_Thomas,mean,0.53
8,Gary_Vee,median,0.37
8,Jay_Shetty,top3mean,0.9
8,Nick_Vujicic,top3mean,0.63
8,other_speaker_present,top3mean,0.76
8,music_present,top3mean,0.71
8,audience_reaction_present,mean,0.23
8,silence_present,p75,0.35
9,Brene_Brown,noisy_or,0.94
9,Eckhart_Tolle,top2mean,0.5
9,Eric_Thomas,mean,0.54
9,Gary_Vee,median,0.37
9,Jay_Shetty,mean,0.89
9,Nick_Vujicic,top3mean,0.5
9,other_speaker_present,p75,0.74
9,music_present,mean,0.49
9,audience_reaction_present,p90,0.62
9,silence_present,p75,0.34
10,Brene_Brown,top3mean,0.5
10,Eckhart_Tolle,top2mean,0.5
10,Eric_Thomas,p75,0.88
10,Gary_Vee,p75,0.5
10,Jay_Shetty,p75,0.95
10,Nick_Vujicic,mean,0.43
10,other_speaker_present,p75,0.63
10,music_present,top4mean,0.63
10,audience_reaction_present,max,0.7
10,silence_present,p75,0.34
11,Brene_Brown,noisy_or,0.94
11,Eckhart_Tolle,top2mean,0.5
11,Eric_Thomas,top2mean,0.91
11,Gary_Vee,median,0.37
11,Jay_Shetty,mean,0.89
11,Nick_Vujicic,mean,0.43
11,other_speaker_present,mean,0.62
11,music_present,mean,0.53
11,audience_reaction_present,max,0.7
11,silence_present,p75,0.26
12,Brene_Brown,top3mean,0.5
12,Eckhart_Tolle,top2mean,0.5
12,Eric_Thomas,top3mean,0.78
12,Gary_Vee,top3mean,0.5
12,Jay_Shetty,p75,0.95
12,Nick_Vujicic,mean,0.43
12,other_speaker_present,p75,0.75
12,music_present,mean,0.48
12,audience_reaction_present,max,0.7
12,silence_present,p75,0.34
13,Brene_Brown,max,0.94
13,Eckhart_Tolle,top2mean,0.5
13,Eric_Thomas,mean,0.49
13,Gary_Vee,top2mean,0.5
13,Jay_Shetty,mean,0.55
13,Nick_Vujicic,mean,0.43
13,other_speaker_present,top3mean,0.76
13,music_present,mean,0.49
13,audience_reaction_present,max,0.61
13,silence_present,top2mean,0.5
14,Brene_Brown,median,0.16
14,Eckhart_Tolle,top2mean,0.5
14,Eric_Thomas,p75,0.87
14,Gary_Vee,top3mean,0.5
14,Jay_Shetty,mean,0.55
14,Nick_Vujicic,mean,0.43
14,other_speaker_present,top4mean,0.74
14,music_present,mean,0.49
14,audience_reaction_present,top2mean,0.54
14,silence_present,p90,0.67
15,Brene_Brown,noisy_or,0.94
15,Eckhart_Tolle,top2mean,0.5
15,Eric_Thomas,p75,0.87
15,Gary_Vee,p75,0.5
15,Jay_Shetty,mean,0.55
15,Nick_Vujicic,p75,0.57
15,other_speaker_present,top3mean,0.68
15,music_present,mean,0.48
15,audience_reaction_present,max,0.68
15,silence_present,p90,0.67
16,Brene_Brown,top3mean,0.5
16,Eckhart_Tolle,top2mean,0.5
16,Eric_Thomas,p75,0.87
16,Gary_Vee,top3mean,0.5
16,Jay_Shetty,mean,0.82
16,Nick_Vujicic,top3mean,0.63
16,other_speaker_present,mean,0.6
16,music_present,top2mean,0.85
16,audience_reaction_present,max,0.68
16,silence_present,top3mean,0.5
17,Brene_Brown,top3mean,0.5
17,Eckhart_Tolle,top2mean,0.5
17,Eric_Thomas,mean,0.54
17,Gary_Vee,mean,0.5
17,Jay_Shetty,mean,0.85
17,Nick_Vujicic,mean,0.43
17,other_speaker_present,mean,0.61
17,music_present,mean,0.46
17,audience_reaction_present,mean,0.23
17,silence_present,p75,0.26
18,Brene_Brown,top3mean,0.5
18,Eckhart_Tolle,top2mean,0.5
18,Eric_Thomas,mean,0.54
18,Gary_Vee,top3mean,0.5
18,Jay_Shetty,top3mean,0.9
18,Nick_Vujicic,top3mean,0.63
18,other_speaker_present,top3mean,0.68
18,music_present,mean,0.48
18,audience_reaction_present,p90,0.62
18,silence_present,top2mean,0.5
19,Brene_Brown,top3mean,0.5
19,Eckhart_Tolle,top2mean,0.5
19,Eric_Thomas,mean,0.54
19,Gary_Vee,median,0.37
19,Jay_Shetty,mean,0.85
19,Nick_Vujicic,mean,0.43
19,other_speaker_present,mean,0.55
19,music_present,top4mean,0.63
19,audience_reaction_present,top3mean,0.3
19,silence_present,p75,0.5
