variant,run_id,device,batch_size,lat_exit1_ms,lat_exit2_ms,lat_exit3_ms,exit1_flops,exit2_flops,exit3_flops,expected_mflops,full_mflops,compute_saving_pct,K,tap_blocks,n_mels,frames,lat_exit4_ms,exit4_flops,lat_exit5_ms,exit5_flops
v0.3,v0_3_005,cpu,16,0.3128472393861146,2.7907707431779323,5.26870500179939,1861696.0,16607360.0,31353088.0,4.946946363076924,31.353088,84.22182094766256,,,,,,,,
v0.3,v0_3_006,cpu,16,0.31897122998191985,2.8454001329715144,5.371840001316741,1861696.0,16607360.0,31353088.0,4.946946363076924,31.353088,84.22182094766256,,,,,,,,
v0.3,v0_3_007,cpu,16,0.3099653090554121,2.765062327573615,5.220170001848601,1861696.0,16607360.0,31353088.0,4.946946363076924,31.353088,84.22182094766256,,,,,,,,
v0.3,v0_3_008,cpu,16,0.3040449861723615,2.7122497666425827,5.120464999345131,1861696.0,16607360.0,31353088.0,4.946946363076924,31.353088,84.22182094766256,,,,,,,,
v0.3,v0_3_009,cpu,16,0.5452842579758099,4.864237756613941,9.183210000628605,1861696.0,16607360.0,31353088.0,3.8580340184615385,31.353088,87.69488345625943,,,,,,,,
v0.3,v0_3_010,cpu,16,0.5473847685722258,4.882975475155794,9.218584999325685,1861696.0,16607360.0,31353088.0,3.8580340184615385,31.353088,87.69488345625943,,,,,,,,
v0.3,v0_3_011,cpu,16,0.3231318739052751,2.882515382435966,5.441909999353811,1861696.0,16607360.0,31353088.0,4.946946363076924,31.353088,84.22182094766256,,,,,,,,
v0.3,v0_3_012,cpu,16,0.5767850895644845,5.1452426309288075,9.713720000581816,1861696.0,16607360.0,31353088.0,3.8580340184615385,31.353088,87.69488345625943,,,,,,,,
v0.3,v0_3_013,cpu,16,0.3537233253839732,3.155408082226519,5.957104999106377,1861696.0,16607360.0,31353088.0,4.946946363076924,31.353088,84.22182094766256,,,,,,,,
v0.3,v0_3_014,cpu,16,0.5421470005093716,4.8362516814664245,9.130374999949709,1861696.0,16607360.0,31353088.0,3.8580340184615385,31.353088,87.69488345625943,,,,,,,,
v0.3,v0_3_015,cpu,16,0.40261786988028253,3.591574514601207,6.780545000219718,1861696.0,16607360.0,31353088.0,4.946946363076924,31.353088,84.22182094766256,,,,,,,,
v0.3,v0_3_016,cpu,16,0.6036591567470104,5.384974202766741,10.166310000931844,1861696.0,16607360.0,31353088.0,3.8580340184615385,31.353088,87.69488345625943,,,,,,,,
v0.3,v0_3_017,cpu,16,0.34371450335670173,3.0661238432407623,5.788544999086298,1861696.0,16607360.0,31353088.0,4.946946363076924,31.353088,84.22182094766256,,,,,,,,
v0.3,v0_3_018,cpu,16,0.3778220465726472,3.3703820298097633,6.3629550015321,1861696.0,16607360.0,31353088.0,4.946946363076924,31.353088,84.22182094766256,,,,,,,,
v0.3,v0_3_019,cpu,16,0.33588160271431006,2.996250028819702,5.656630001612939,1861696.0,16607360.0,31353088.0,4.720088812307693,31.353088,84.9453782277915,,,,,,,,
v0.3,v0_3_020,cpu,16,0.3500540376072238,3.1226760018803845,5.895310000050813,1861696.0,16607360.0,31353088.0,4.720088812307693,31.353088,84.9453782277915,,,,,,,,
v0.3,v0_3_021,cpu,16,0.3748644087320659,3.34399826126315,6.313145000603981,1861696.0,16607360.0,31353088.0,4.946946363076924,31.353088,84.22182094766256,,,,,,,,
v0.3,v0_3_022,cpu,16,0.3333553489045773,2.9737144448846213,5.614085000706837,1861696.0,16607360.0,31353088.0,4.946946363076924,31.353088,84.22182094766256,,,,,,,,
v0.5,v0_5_002,cpu,16,0.30756937321184663,2.1346566390406374,3.0482029153028036,1861696.0,12920928.0,18450560.0,3.1377617723076923,51.628288,93.92239817770503,5,"1,2,3,4",64,101,4.875295467827136,29509824.0,8.529469999484718,51628288.0
v0.5_hint,v0_5_hint_002,cpu,16,0.30130419597757446,2.0911737589403043,2.9861111299245393,1861696.0,12920928.0,18450560.0,14.350135335384614,51.628288,72.20489795171086,5,"1,2,3,4",64,101,4.77598587189301,29509824.0,8.35572499781847,51628288.0
