run_id,variant,num_exits,tap_blocks_json,tau,temperatures_json,policy_test_acc,avg_exit_depth,exit_mix_json,expected_mflops,full_mflops,compute_saving_pct,ece_policy,n_mels,frames,num_classes,device,segment_sec,hop_sec,exit_e1,exit_e2,exit_e3,exit_e4,exit_e5
v0_2_002,v0.2,3,,,"[0.936334490776062, 1.1550763845443726, 0.8274151682853699]",0.8953846153846153,1.2953846153846154,"{""e1"": 0.796923076923077, ""e2"": 0.11076923076923077, ""e3"": 0.09230769230769231}",6.217344196923077,31.353088,80.16991437359192,,64,101,2,cpu,1,0.5,0.796923076923077,0.1107692307692307,0.0923076923076923,,
v0_2_007,v0.2,3,,,"[1.4657639265060425, 1.3754422664642334, 0.7937371134757996]",0.8830769230769231,1.209230769230769,"{""e1"": 0.8492307692307692, ""e2"": 0.09230769230769231, ""e3"": 0.05846153846153846}",4.946946363076924,31.353088,84.22182094766256,,64,101,2,cpu,1,0.5,0.8492307692307692,0.0923076923076923,0.0584615384615384,,
v0_2_004,v0.2,3,,,"[1.0771502256393433, 0.9551254510879517, 0.6509687304496765]",0.8676923076923077,1.243076923076923,"{""e1"": 0.8153846153846154, ""e2"": 0.12615384615384614, ""e3"": 0.05846153846153846}",5.446030375384614,31.353088,82.63000322206024,,64,101,2,cpu,1,0.5,0.8153846153846154,0.1261538461538461,0.0584615384615384,,
v0_2_003,v0.2,3,,,"[1.310050368309021, 1.0384148359298706, 0.6144111752510071]",0.8553846153846154,1.1723076923076925,"{""e1"": 0.8738461538461538, ""e2"": 0.08, ""e3"": 0.046153846153846156}",4.402490289230769,31.353088,85.95835188792003,,64,101,2,cpu,1,0.5,0.8738461538461538,0.08,0.0461538461538461,,
v0_2_005,v0.2,3,,,"[1.2735528945922852, 0.9994382262229919, 0.7135053873062134]",0.8553846153846154,1.123076923076923,"{""e1"": 0.9076923076923077, ""e2"": 0.06153846153846154, ""e3"": 0.03076923076923077}",3.676548923076923,31.353088,88.27372626556937,,64,101,2,cpu,1,0.5,0.9076923076923076,0.0615384615384615,0.0307692307692307,,
v0_2_006,v0.2,3,,,"[1.3276457786560059, 1.1890413761138916, 0.5]",0.8153846153846154,1.0246153846153847,"{""e1"": 0.9753846153846154, ""e2"": 0.024615384615384615, ""e3"": 0.0}",2.224666190769231,31.353088,92.90447502086802,,64,101,2,cpu,1,0.5,0.9753846153846154,0.0246153846153846,0.0,,
v0_3_028,v0.3,3,,,"[1.6693214178085327, 1.059374451637268, 1.1368088722229004]",0.9107692307692308,1.7107692307692308,"{""e1"": 0.39384615384615385, ""e2"": 0.5015384615384615, ""e3"": 0.10461538461538461}",15.388000492307691,51.628288,70.19463342982108,,64,101,2,cpu,1,0.5,0.3938461538461538,0.5015384615384615,0.1046153846153846,,
v0_3_001,v0.3,3,,,"[1.4657639265060425, 1.3754422664642334, 0.7937371134757996]",0.8830769230769231,1.209230769230769,"{""e1"": 0.8492307692307692, ""e2"": 0.09230769230769231, ""e3"": 0.05846153846153846}",4.946946363076924,31.353088,84.22182094766256,,64,101,2,cpu,1,0.5,0.8492307692307692,0.0923076923076923,0.0584615384615384,,
v0_3_002,v0.3,3,,,"[1.4657639265060425, 1.3754422664642334, 0.7937371134757996]",0.8830769230769231,1.209230769230769,"{""e1"": 0.8492307692307692, ""e2"": 0.09230769230769231, ""e3"": 0.05846153846153846}",4.946946363076924,31.353088,84.22182094766256,,64,101,2,cpu,1,0.5,0.8492307692307692,0.0923076923076923,0.0584615384615384,,
v0_3_003,v0.3,3,,,"[1.4657639265060425, 1.3754422664642334, 0.7937371134757996]",0.8830769230769231,1.209230769230769,"{""e1"": 0.8492307692307692, ""e2"": 0.09230769230769231, ""e3"": 0.05846153846153846}",4.946946363076924,31.353088,84.22182094766256,,64,101,2,cpu,1,0.5,0.8492307692307692,0.0923076923076923,0.0584615384615384,,
