parent_clip_id,Brene_Brown,Eckhart_Tolle,Eric_Thomas,Gary_Vee,Jay_Shetty,Nick_Vujicic,other_speaker_present,music_present,audience_reaction_present,silence_present
Brene_Brown__Brene_Brown__0094,0.9998023,0.007061038666666666,0.00229038475,0.000817471836,4.0282328e-05,0.00019235823,0.21059815737842835,0.011423505140000002,0.043488719333333335,0.036545996
Brene_Brown__Brene_Brown__0098,0.99645543,0.0038224054666666668,0.0022119035759999997,0.000121523938624,7.435047e-05,0.0021678777,0.9963206780883569,0.013090991638,0.119421265,0.027532129
Brene_Brown__Brene_Brown__0133,0.9779089,0.00054058819,0.0028014491975,0.021279047340899998,0.00012252822,0.015812052,0.32705527253847433,0.02270841882,0.09865577133333332,0.012167987
Brene_Brown__Brene_Brown__0134,0.17625424,0.0024393758666666665,0.0004117090875,0.0032538187580000003,0.0006006818,0.005754738,0.9620966593742801,0.06404136965999999,0.6198100066666666,0.11412906
Brene_Brown__Brene_Brown__0140,0.9991381,0.0010247818999999999,0.0264265798,0.0013674671150000002,0.0004505204,0.009522238,0.6868734099290843,0.02410516401,0.12709381033333333,0.027147619
Brene_Brown__Brene_Brown__0141,0.9965468,0.0019756328,0.008167737576,0.001108784914,4.8334117e-05,0.008264853,0.4786054009090194,0.00417708619,0.06098100533333334,0.046025507
Brene_Brown__Brene_Brown__0144,0.9686558,0.008117413506666666,0.0005058957787499999,0.0009615998013999998,0.0002938529,0.018940423,0.9143576790281961,0.05138048609,0.21191790333333335,0.06712714
Brene_Brown__Brene_Brown__0146,0.99713683,0.0011819923,0.0025178007922499997,0.0005190511662,0.00048771463,0.002612962,0.7583841670119336,0.0036459638672,0.12416660666666667,0.10308734
Brene_Brown__Brene_Brown__0147,0.9958259,0.00034792755666666664,0.015683838175,0.00056573847324,0.00029916706,0.002298428,0.6602274903161862,0.04791460559999999,0.11035817933333332,0.019470029
Brene_Brown__Brene_Brown__0148,0.9840566,0.00947644997,0.07717436345,0.009054449732578,0.00010041806,0.004364452,0.7610014930474964,0.04227163826,0.13308968666666665,0.0108170975
Brene_Brown__Brene_Brown__0152,0.99868363,0.0003524205493333333,0.0007254321585,0.002385332912,0.00022274486,0.0155522395,0.6798710126014518,0.0037609260000000004,0.10968784,0.0769129
Brene_Brown__Brene_Brown__0157,0.98869985,0.0024595710433333333,0.0004375943055,0.0006000485649259999,0.0004137308,0.0009983031,0.9538741224375643,0.02444916282,0.05856922966666667,0.035111837
Brene_Brown__Brene_Brown__0161,0.98463166,0.0013659885666666663,0.00072485962,0.01185497268,0.0009766802,0.0080935275,0.4928712786227718,0.0120877846,0.28408205866666664,0.09340826
Brene_Brown__Brene_Brown__0165,0.9993061,0.06427617433333334,0.0038533484624999996,0.013013296157988,1.2134468e-05,0.00037978223,0.614151800047544,0.0644816361,0.067819335,0.028406208
Brene_Brown__Brene_Brown__0166,0.99973494,0.023608391133333333,0.0006521712490000001,0.0018736442754,1.8919643e-05,0.00015302011,0.6156218485175324,0.0065138161,0.04430733533333333,0.04305382
Brene_Brown__Brene_Brown__0174,0.078702316,0.013620652666666669,0.20907600907499999,0.0358592606,0.0004922129,0.008489417,0.8353188535099914,0.14628835866,0.5947609433333333,0.07707834
Brene_Brown__Brene_Brown__0181,0.9939557,0.002752510253333333,0.0024046984325,0.0034895825399999998,7.4917494e-05,0.00071867567,0.3761392855595621,0.04909514921,0.10692825866666666,0.013824425
Brene_Brown__Brene_Brown__0192,0.9980933,0.002946466346666667,0.022879463575,0.0006829852981819999,1.9416848e-05,0.021588797,0.6248277057598317,0.02588846376,0.050420762333333334,0.0087361755
Brene_Brown__Brene_Brown__0196,0.99887305,0.0019419167799999998,0.004997299080000001,0.0117557148128,2.8523842e-05,0.0012636539,0.6854574664097445,0.011782405252,0.22415536,0.023034565
Brene_Brown__Brene_Brown__0199,0.9996362,0.0011616600099999999,0.00026104194775,0.02227426539388,1.8909039e-05,0.00038907572,0.41250081743980926,0.00612704424,0.07148696,0.016933493
Brene_Brown__Brene_Brown__0201,0.9989309,0.022061081133333337,0.06185185665,0.0166236477794,4.987128e-05,0.0066381,0.6711245938347224,0.01474321986,0.31797180199999997,0.06451711
Brene_Brown__Brene_Brown__0203,0.9994735,0.002085452766666667,0.010360471055,0.0001567426256,1.0898483e-05,0.027521208,0.20298516040266223,0.004302931092,0.14643610666666665,0.011248533
Brene_Brown__Brene_Brown__0212,0.99995565,0.0030372407833333336,0.000425049074375,0.0038094222570800003,2.1732749e-05,0.0029815726,0.34312734714776927,0.00508325383,0.17063492,0.043629102
Brene_Brown__Brene_Brown__0217,0.9907132,0.0025906370666666668,0.0030552974499999997,0.00906605323028,0.00027396265,0.001533114,0.7035375752662254,0.017834843420000003,0.21821225333333336,0.04506145
